 
fecha,Cantidad,Nemotecnico,Volumen,Ultimo Precio,Variacion%
Ago 16 2016,"209,620.00",GRUPOAVAL ,"251,523,200.00","1,200.00",1.27
Ago 16 2016,"7,643.00",PFCORFICOL,"238,350,800.00","31,200.00",.26
Ago 16 2016,"5,072,480.00",BVC       ,"96,133,312.00",19.10,2.69
Ago 16 2016,"10,634.00",ODINSA    ,"89,603,120.00","8,680.00",-.12
Ago 16 2016,"5,280,000.00",FABRICATO ,"77,616,000.00",14.70,5.00
Ago 16 2016,"3,400.00",TERPEL    ,"33,320,000.00","9,800.00",.20
Ago 16 2016,"4,000.00",CARTON    ,"23,806,200.00","5,940.00",5.88
Ago 16 2016,"5,816.00",ISAGEN    ,"23,642,040.00","4,065.00",.00
Ago 16 2016,"3,801,454.00",PAZRIO    ,"23,188,869.40",6.10,-23.75
Ago 16 2016,"434,075.00",ENKA      ,"5,026,862.50",11.80,.00
Ago 16 2016,26.00,GRUBOLIVAR,"1,378,000.00","51,000.00",.00
Ago 16 2016,150.00,VALOREM   ,"62,700.00",452.00,.00
Ago 17 2016,"1,107,408.00",PFBCOLOM  ,"30,239,557,840.00","27,320.00",-.22
Ago 17 2016,"1,910,386.00",ICOLCAP   ,"25,958,847,813.00","13,588.00",.15
Ago 17 2016,"16,521,484.00",ECOPETROL ,"21,263,723,055.00","1,320.00",3.53
Ago 17 2016,"13,476,309.00",PFAVAL    ,"16,361,514,400.00","1,230.00",2.50
Ago 17 2016,"254,933.00",GRUPOSURA ,"9,869,728,300.00","38,860.00",.62
Ago 17 2016,"670,639.00",PFCEMARGOS,"7,328,965,640.00","10,980.00",-.18
Ago 17 2016,"266,060.00",PFDAVVNDA ,"7,326,917,960.00","27,640.00",-.58
Ago 17 2016,"535,996.00",CEMARGOS  ,"6,323,505,140.00","11,800.00",-.67
Ago 17 2016,"201,611.00",BCOLOMBIA ,"5,103,515,780.00","25,320.00",-.63
Ago 17 2016,"2,017,201.00",PFAVH     ,"4,902,734,505.00","2,480.00",6.44
Ago 17 2016,"1,222,834.00",CELSIA    ,"4,814,409,620.00","3,950.00",.89
Ago 17 2016,"272,477.00",EXITO     ,"3,815,497,520.00","13,980.00",.00
Ago 17 2016,"135,280.00",NUTRESA   ,"3,503,002,760.00","25,880.00",-.46
Ago 17 2016,"179,181.00",GRUPOARGOS,"3,469,867,220.00","19,340.00",.52
Ago 17 2016,"314,084.00",ISA       ,"3,032,780,480.00","9,670.00",-.31
Ago 17 2016,"67,274.00",CORFICOLCF,"2,573,317,880.00","38,160.00",-.63
Ago 17 2016,"65,159.00",PFGRUPSURA,"2,482,392,760.00","38,380.00",.95
Ago 17 2016,"245,169.00",CNEC      ,"2,267,080,470.00","9,260.00",-1.70
Ago 17 2016,"114,948.00",CLH       ,"1,456,584,000.00","12,640.00",-.47
Ago 17 2016,"68,592.00",PFGRUPOARG,"1,274,003,100.00","18,580.00",.43
Ago 17 2016,"100,000.00",HCOLSEL   ,"1,222,400,000.00","12,224.00",1.87
Ago 17 2016,"815,726.00",GRUPOAVAL ,"992,906,935.00","1,230.00",2.50
Ago 17 2016,"405,985.00",EEB       ,"751,273,610.00","1,860.00",.81
Ago 17 2016,"9,073.00",BOGOTA    ,"539,779,280.00","59,640.00",.24
Ago 17 2016,"24,950.00",TERPEL    ,"232,035,000.00","9,300.00",-5.10
Ago 17 2016,"6,263.00",PFCORFICOL,"197,605,600.00","32,300.00",3.53
Ago 17 2016,"149,269.00",CONCONCRET,"166,452,995.00","1,105.00",-1.34
Ago 17 2016,"8,623,628.00",BVC       ,"165,202,538.90",19.40,1.57
Ago 17 2016,"10,089,953.00",ENKA      ,"118,015,440.70",11.90,.85
Ago 17 2016,"2,163.00",OCCIDENTE ,"78,949,500.00","36,500.00",.00
Ago 17 2016,"61,492.00",ETB       ,"37,420,363.00",608.00,1.00
Ago 17 2016,"22,175.00",ELCONDOR  ,"25,923,780.00","1,160.00",-1.69
Ago 17 2016,"10,000.00",MINEROS   ,"24,350,000.00","2,435.00",1.46
Ago 17 2016,366.00,GRUBOLIVAR,"19,434,600.00","53,100.00",4.12
Ago 17 2016,"43,000.00",BBVACOL   ,"11,610,000.00",270.00,3.85
Ago 17 2016,"1,000.00",ISAGEN    ,"4,060,000.00","4,065.00",.00
Ago 17 2016,"6,520.00",VALOREM   ,"2,725,360.00",452.00,.00
Ago 17 2016,"1,000.00",PFCARPAK  ,"2,650,000.00","2,650.00",.00
Ago 17 2016,"5,000.00",PFBBVACOL ,"1,300,000.00",270.00,.00
Ago 17 2016,167.00,COLTEJER  ,"201,235.00","1,600.00",.00
Ago 18 2016,"979,082.00",PFBCOLOM  ,"26,606,152,080.00","27,180.00",-.51
Ago 18 2016,"10,671,015.00",ECOPETROL ,"14,196,182,615.00","1,330.00",.76
Ago 18 2016,"2,752,749.00",CELSIA    ,"11,010,180,125.00","4,040.00",2.28
Ago 18 2016,"6,920,834.00",PFAVAL    ,"8,490,315,805.00","1,235.00",.41
Ago 18 2016,"484,617.00",ICOLCAP   ,"6,601,367,201.50","13,610.00",.16
Ago 18 2016,"151,635.00",GRUPOSURA ,"5,862,706,440.00","38,560.00",-.77
Ago 18 2016,"459,074.00",CEMARGOS  ,"5,372,183,960.00","11,640.00",-1.36
Ago 18 2016,"381,926.00",EXITO     ,"5,330,528,000.00","13,960.00",-.14
Ago 18 2016,"201,051.00",NUTRESA   ,"5,224,585,120.00","26,000.00",.46
Ago 18 2016,"1,696,372.00",PFAVH     ,"4,167,445,700.00","2,455.00",-1.01
Ago 18 2016,"108,905.00",CORFICOLCF,"4,147,305,380.00","38,000.00",-.42
Ago 18 2016,"135,753.00",PFDAVVNDA ,"3,761,881,000.00","27,780.00",.51
Ago 18 2016,"138,306.00",BCOLOMBIA ,"3,474,095,280.00","25,180.00",-.55
Ago 18 2016,"123,222.00",GRUPOARGOS,"2,391,014,140.00","19,500.00",.83
Ago 18 2016,"59,962.00",PFGRUPSURA,"2,277,568,580.00","37,880.00",-1.30
Ago 18 2016,"173,408.00",ISA       ,"1,671,202,090.00","9,650.00",-.21
Ago 18 2016,"130,298.00",CLH       ,"1,665,770,880.00","12,780.00",1.11
Ago 18 2016,"154,569.00",CNEC      ,"1,470,523,430.00","9,590.00",3.56
Ago 18 2016,"53,663.00",PFGRUPOARG,"995,343,860.00","18,560.00",-.11
Ago 18 2016,"87,007.00",PFCEMARGOS,"951,561,920.00","10,920.00",-.55
Ago 18 2016,"439,293.00",EEB       ,"825,351,880.00","1,880.00",1.08
Ago 18 2016,"7,850.00",BOGOTA    ,"467,639,420.00","59,500.00",-.23
Ago 18 2016,"377,077.00",GRUPOAVAL ,"463,238,550.00","1,230.00",.00
Ago 18 2016,"537,753.00",ETB       ,"328,093,861.00",610.00,.33
Ago 18 2016,"14,200,000.00",ENKA      ,"167,780,000.00",11.90,.00
Ago 18 2016,"63,850.00",ELCONDOR  ,"74,949,000.00","1,175.00",1.29
Ago 18 2016,"23,700.00",MINEROS   ,"57,647,430.00","2,435.00",.00
Ago 18 2016,"10,747.00",ISAGEN    ,"43,735,290.00","4,070.00",.12
Ago 18 2016,"2,750,941.00",FABRICATO ,"40,210,832.70",14.70,.00
Ago 18 2016,"1,349,859.00",BVC       ,"26,166,089.20",19.40,.00
Ago 18 2016,475.00,PFCORFICOL,"15,428,000.00","32,480.00",.56
Ago 18 2016,"13,495.00",CONCONCRET,"15,010,560.00","1,115.00",.90
Ago 18 2016,"1,665.00",ODINSA    ,"14,280,480.00","8,680.00",.00
Ago 18 2016,"3,320.00",PFCARPAK  ,"8,798,000.00","2,650.00",.00
Ago 18 2016,"1,145.00",COLTEJER  ,"1,448,425.00","1,600.00",.00
Ago 18 2016,"1,618.00",VALOREM   ,"676,324.00",452.00,.00
Ago 19 2016,"2,789,244.00",PFBCOLOM  ,"76,838,480,540.00","27,720.00",1.99
Ago 19 2016,"605,223.00",PFDAVVNDA ,"17,043,203,560.00","28,100.00",1.15
Ago 19 2016,"470,691.00",BCOLOMBIA ,"12,007,364,560.00","25,640.00",1.83
Ago 19 2016,"5,618,640.00",ECOPETROL ,"7,432,190,255.00","1,320.00",-.75
Ago 19 2016,"476,321.00",EXITO     ,"6,654,080,740.00","13,920.00",-.29
Ago 19 2016,"3,459,876.00",PFAVAL    ,"4,242,680,745.00","1,210.00",-2.02
Ago 19 2016,"331,260.00",ISA       ,"3,190,014,200.00","9,610.00",-.41
Ago 19 2016,"1,105,270.00",PFAVH     ,"2,733,379,170.00","2,485.00",1.22
Ago 19 2016,"67,706.00",GRUPOSURA ,"2,615,959,060.00","38,620.00",.16
Ago 19 2016,"235,761.00",PFCEMARGOS,"2,570,806,200.00","10,920.00",.00
Ago 19 2016,"192,146.00",CLH       ,"2,490,438,940.00","12,880.00",.78
Ago 19 2016,"584,821.00",CELSIA    ,"2,346,468,810.00","4,000.00",-.99
Ago 19 2016,"57,389.00",CORFICOLCF,"2,181,540,720.00","38,000.00",.00
Ago 19 2016,"66,548.00",NUTRESA   ,"1,723,762,320.00","25,920.00",-.31
Ago 19 2016,"98,593.00",CEMARGOS  ,"1,154,678,280.00","11,640.00",.00
Ago 19 2016,"26,520.00",PFGRUPSURA,"1,007,683,360.00","37,980.00",.26
Ago 19 2016,"105,076.00",CNEC      ,"986,067,980.00","9,300.00",-3.02
Ago 19 2016,"2,000,000.00",VALOREM   ,"900,000,000.00",450.00,-.44
Ago 19 2016,"45,908.00",GRUPOARGOS,"892,286,280.00","19,460.00",-.21
Ago 19 2016,"35,450.00",PFGRUPOARG,"658,640,140.00","18,500.00",-.32
Ago 19 2016,"15,953.00",OCCIDENTE ,"582,284,500.00","36,500.00",.00
Ago 19 2016,"212,401.00",EEB       ,"395,810,870.00","1,860.00",-1.06
Ago 19 2016,"2,318.00",BOGOTA    ,"136,568,740.00","58,840.00",-1.11
Ago 19 2016,"85,751.00",GRUPOAVAL ,"104,805,950.00","1,220.00",-.81
Ago 19 2016,"1,900.00",GRUBOLIVAR,"100,320,000.00","52,800.00",-.56
Ago 19 2016,"6,847,000.00",FABRICATO ,"99,263,009.60",14.20,-3.40
Ago 19 2016,"106,383.00",ETB       ,"64,481,630.00",606.00,-.66
Ago 19 2016,"2,042,632.00",ENKA      ,"24,278,857.60",11.90,.00
Ago 19 2016,"10,391.00",CONCONCRET,"11,607,300.00","1,120.00",.45
Ago 19 2016,"490,650.00",BVC       ,"9,526,425.50",19.40,.00
Ago 19 2016,"2,328.00",ISAGEN    ,"9,474,960.00","4,070.00",.00
Ago 19 2016,"3,000.00",PFCARPAK  ,"7,980,000.00","2,660.00",.38
Ago 19 2016,860.00,ODINSA    ,"7,310,000.00","8,500.00",-2.07
Ago 19 2016,"16,685.00",PFBBVACOL ,"4,338,100.00",270.00,.00
Ago 2 2016,"13,981,999.00",ECOPETROL ,"17,207,366,025.00","1,205.00",-3.60
Ago 2 2016,"1,018,183.00",EXITO     ,"14,222,742,960.00","13,900.00",-.71
