FECHA,NEMO,MONTO,CANTIDAD,PRECIO CIERRE,PRECIO MIN,PRECIO MAX,PRECIO PROM
2016-01-06,ISA,1195368840,166367,7080,7080,7260,7185.13
2016-01-06,ISAGEN,13697821805,3941154,3480,3360,3645,3475.59
2016-01-06,JPM,0,0,222260,0,0,0
2016-01-06,MANCEMENTO,0,0,40000,0,0,0
2016-01-06,MINEROS,40358230,21000,1970,1850,1970,1921.82
2016-01-06,NUTRESA,16973687520,754440,22500,22440,22560,22498.39
2016-01-06,OCCIDENTE,0,0,38500,0,0,0
2016-01-06,ODINSA,0,0,8500,0,0,0
2016-01-06,PAZRIO,0,0,7.79,0,0,0
2016-01-06,PFAVAL,3096715160,2998974,1030,1015,1050,1032.59
2016-01-06,PFAVH,516164165,317068,1595,1585,1650,1627.93
2016-01-06,PFBBVACOL,0,0,295,0,0,0
2016-01-06,PFBCOLOM,7286908420,342142,21200,21140,21500,21297.91
2016-01-06,PFCARPAK,5065700,2830,1860,0,0,1790
2016-01-06,PFCEMARGOS,1200845630,132930,9290,9000,9290,9033.67
2016-01-06,PFCORFICOL,0,0,32740,0,0,0
2016-01-06,PFDAVVNDA,2944366320,137351,21420,20520,21700,21436.8
2016-01-06,PFE,0,0,109300,0,0,0
2016-01-06,PFGRUPOARG,119415400,7890,14820,14820,15340,15135.03
2016-01-06,PFGRUPSURA,6931346300,205779,33680,33500,33700,33683.45
2016-01-06,PFVILLAS,2214000,369,6000,0,0,6000
2016-01-06,PFVILLASCA,0,0,2700,0,0,0
2016-01-06,POPULAR,0,0,500,0,0,0
2016-01-06,PPH,0,0,205100,0,0,0
2016-01-06,PREC,236367350,67327,3400,3400,3680,3510.74
2016-01-06,PROMIGAS,0,0,5000,0,0,0
2016-01-06,PROTECCION,0,0,71000,0,0,0
2016-01-06,RSX,0,0,49300,0,0,0
2016-01-06,SDIV,0,0,66080,0,0,0
2016-01-06,SOCBOLIVAR,0,0,57000,0,0,0
2016-01-06,TABLEMAC,11370438,1263382,9,9,9,9
2016-01-06,TERPEL,0,0,9260,0,0,0
2016-01-06,TGLSC,57967000,1274,45500,45500,45500,45500
2016-01-06,VALINDUSTR,0,0,5500,0,0,0
2016-01-06,VALOREM,0,0,460,0,0,0
2016-01-06,VALSIMESA,0,0,1500,0,0,0
2016-01-06,VILLAS,0,0,9500,0,0,0
2016-01-07,AAPL,0,0,358200,0,0,0
2016-01-07,AMZN,0,0,2299900,0,0,0
2016-01-07,BAC,0,0,56900,0,0,0
2016-01-07,BBH,0,0,384400,0,0,0
2016-01-07,BBVACOL,0,0,240,0,0,0
2016-01-07,BCOLOMBIA,453221680,22582,20100,19900,20600,20070.04
2016-01-07,BIOMAX,0,0,1750,0,0,0
2016-01-07,BMC,0,0,841,0,0,0
2016-01-07,BOGOTA,39174900,670,59000,57220,59000,58470
2016-01-07,BVC,0,0,17.5,0,0,0
2016-01-07,C,0,0,174560,0,0,0
2016-01-07,CARTON,23000000,5000,4600,4600,4600,4600
2016-01-07,CELSIA,2525314680,864147,3000,2810,3040,2922.32
2016-01-07,CEMARGOS,1081111900,118809,9010,9010,9580,9099.58
2016-01-07,CLH,2794048100,277103,10100,10040,10300,10083.07
2016-01-07,CNEC,457498340,79895,5760,5560,5800,5726.24
2016-01-07,COLTEJER,0,0,1950,0,0,0
2016-01-07,CONCONCRET,0,0,1070,0,0,0
2016-01-07,CORFERIAS,0,0,1000,0,0,0
2016-01-07,CORFICOLCF,539591940,14709,36500,36500,37980,36684.47
2016-01-07,ECOPETROL,6344253355,6077752,1035,1030,1065,1043.85
2016-01-07,EDATEL,0,0,1000,0,0,0
2016-01-07,EEB,134661870,77676,1745,1720,1745,1733.64
2016-01-07,ELCONDOR,0,0,1055,0,0,0
2016-01-07,ENKA,0,0,10.9,0,0,0
2016-01-07,EPSA,0,0,9000,0,0,0
2016-01-07,ESTRA,0,0,245,0,0,0
2016-01-07,ETB,247117476,470380,517,517,538,525.36
2016-01-07,EXITO,2115456760,169167,12600,12400,12680,12505.14
2016-01-07,FABRICATO,0,0,15.1,0,0,0
2016-01-07,FAMILIA,0,0,1100,0,0,0
2016-01-07,GOOGL,0,0,2573360,0,0,0
2016-01-07,GRUPOARGOS,976031240,62460,15600,15560,16140,15626.5
2016-01-07,GRUPOAVAL,26068515,25502,1035,1020,1035,1022.21
2016-01-07,GRUPOSURA,2918682680,87918,32520,32520,34100,33197.78
2016-01-07,GURU,0,0,78040,0,0,0
2016-01-07,HCOLSEL,0,0,10120,0,0,0
2016-01-07,ICOLCAP,679320000,60000,11322,11322,11322,11322
2016-01-07,ISA,1305724500,182049,7180,7000,7180,7172.38
2016-01-07,ISAGEN,12421874975,3550288,3500,3455,3550,3498.84
2016-01-07,JPM,0,0,222260,0,0,0
2016-01-07,MANCEMENTO,0,0,40000,0,0,0
2016-01-07,MINEROS,0,0,1970,0,0,0
2016-01-07,NUTRESA,4142025460,185027,22480,22360,22480,22386.06
2016-01-07,OCCIDENTE,0,0,38500,0,0,0
2016-01-07,ODINSA,0,0,8500,0,0,0
2016-01-07,PAZRIO,0,0,7.79,0,0,0
2016-01-07,PFAVAL,1039172805,1017033,1015,1015,1080,1021.77
2016-01-07,PFAVH,530605900,342074,1550,1535,1575,1551.14
2016-01-07,PFBBVACOL,0,0,295,0,0,0
2016-01-07,PFBCOLOM,8478833180,402621,20760,20600,21440,21059.09
2016-01-07,PFCARPAK,22007325,12385,1790,1790,1790,1776.93
2016-01-07,PFCEMARGOS,212110530,23618,8900,8900,9180,8980.88
2016-01-07,PFCORFICOL,97500000,3000,32500,32500,32500,32500
2016-01-07,PFDAVVNDA,2336795240,110088,21100,21100,21400,21226.61
2016-01-07,PFE,0,0,109300,0,0,0
2016-01-07,PFGRUPOARG,810933000,55148,14700,14700,14800,14704.67
2016-01-07,PFGRUPSURA,1252726600,37500,33180,33180,34180,33406.04
